experiment,vocab_size,vocab_size_live,n_dead_embedding_rows,embedding_dim,n_pairs_used,mean_pairwise_l2,std_pairwise_l2,median_pairwise_l2,mean_pairwise_cosine,mean_nearest_neighbour_l2,median_nearest_neighbour_l2,min_nearest_neighbour_l2,norm_of_mean_embedding,mean_residual_norm,cone_ratio_mu_over_residual,mean_grad_fraction_along_cone_axis,var_explained_top1,var_explained_top2,var_explained_top5,var_explained_top10,var_explained_top50,run_name,model_path,adapter_path,seed,wall_time_sec,n_sequences,frac_emitted_eos,frac_hit_cap,by_strategy.greedy.n,by_strategy.greedy.mean_gen_len,by_strategy.greedy.std_gen_len,by_strategy.greedy.mean_scored_len,by_strategy.greedy.frac_emitted_eos,by_strategy.greedy.frac_hit_cap,by_strategy.greedy.mean_total_logp,by_strategy.greedy.mean_per_token_logp,by_strategy.greedy.mean_rep4,by_strategy.greedy.mean_distinct2,by_strategy.beam5.n,by_strategy.beam5.mean_gen_len,by_strategy.beam5.std_gen_len,by_strategy.beam5.mean_scored_len,by_strategy.beam5.frac_emitted_eos,by_strategy.beam5.frac_hit_cap,by_strategy.beam5.mean_total_logp,by_strategy.beam5.mean_per_token_logp,by_strategy.beam5.mean_rep4,by_strategy.beam5.mean_distinct2,by_strategy.beam20.n,by_strategy.beam20.mean_gen_len,by_strategy.beam20.std_gen_len,by_strategy.beam20.mean_scored_len,by_strategy.beam20.frac_emitted_eos,by_strategy.beam20.frac_hit_cap,by_strategy.beam20.mean_total_logp,by_strategy.beam20.mean_per_token_logp,by_strategy.beam20.mean_rep4,by_strategy.beam20.mean_distinct2,by_strategy.ancestral.n,by_strategy.ancestral.mean_gen_len,by_strategy.ancestral.std_gen_len,by_strategy.ancestral.mean_scored_len,by_strategy.ancestral.frac_emitted_eos,by_strategy.ancestral.frac_hit_cap,by_strategy.ancestral.mean_total_logp,by_strategy.ancestral.mean_per_token_logp,by_strategy.ancestral.mean_rep4,by_strategy.ancestral.mean_distinct2,by_strategy.topp90.n,by_strategy.topp90.mean_gen_len,by_strategy.topp90.std_gen_len,by_strategy.topp90.mean_scored_len,by_strategy.topp90.frac_emitted_eos,by_strategy.topp90.frac_hit_cap,by_strategy.topp90.mean_total_logp,by_strategy.topp90.mean_per_token_logp,by_strategy.topp90.mean_rep4,by_strategy.topp90.mean_distinct2,by_strategy.temp07.n,by_strategy.temp07.mean_gen_len,by_strategy.temp07.std_gen_len,by_strategy.temp07.mean_scored_len,by_strategy.temp07.frac_emitted_eos,by_strategy.temp07.frac_hit_cap,by_strategy.temp07.mean_total_logp,by_strategy.temp07.mean_per_token_logp,by_strategy.temp07.mean_rep4,by_strategy.temp07.mean_distinct2,length_vs_total_logp.pooled_sampling,length_vs_total_logp.usable,length_vs_total_logp.note,length_vs_total_logp.reason_unavailable,length_vs_total_logp.per_strategy.greedy.slope_nats_per_token,length_vs_total_logp.per_strategy.greedy.intercept,length_vs_total_logp.per_strategy.greedy.r_value,length_vs_total_logp.per_strategy.greedy.n,length_vs_total_logp.per_strategy.ancestral.slope_nats_per_token,length_vs_total_logp.per_strategy.ancestral.intercept,length_vs_total_logp.per_strategy.ancestral.r_value,length_vs_total_logp.per_strategy.ancestral.n,length_vs_total_logp.per_strategy.topp90.slope_nats_per_token,length_vs_total_logp.per_strategy.topp90.intercept,length_vs_total_logp.per_strategy.topp90.r_value,length_vs_total_logp.per_strategy.topp90.n,length_vs_total_logp.per_strategy.temp07.slope_nats_per_token,length_vs_total_logp.per_strategy.temp07.intercept,length_vs_total_logp.per_strategy.temp07.r_value,length_vs_total_logp.per_strategy.temp07.n,length_vs_total_logp.pooled_sampling.slope_nats_per_token,length_vs_total_logp.pooled_sampling.intercept,length_vs_total_logp.pooled_sampling.r_value,length_vs_total_logp.pooled_sampling.n,n_pairs,spearman_surrogate_vs_true_ALL,pearson_surrogate_vs_true_ALL,spearman_surrogate_vs_true_SELF,spearman_surrogate_vs_true_FUTURE,mean_abs_true_delta_self,mean_abs_true_delta_future,mean_inter_token_distance,spearman_near,mean_dist_near,spearman_mid,mean_dist_mid,spearman_random,mean_dist_random
anisotropy,50257.0,50257.0,0.0,1280.0,199995.0,2.772538661956787,0.24105702340602875,2.7724483013153076,0.08609850704669952,1.8222060203552246,1.7974642515182495,0.12719328701496124,0.6157084107398987,1.9552226066589355,0.31490450685408905,0.09797376449278432,0.022541987471785253,0.03341516905838794,0.05590521400534029,0.08088268367218769,0.20753410615793863,diag_anisotropy_gpt2sft,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output,,0,25.607500314712524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anisotropy,128256.0,127969.0,287.0,4096.0,199998.0,0.8354588150978088,0.06175681948661804,0.8416593670845032,0.01846875622868538,0.5850058794021606,0.5983858704566956,0.003486563917249441,0.08080978691577911,0.588628351688385,0.13728490427616907,0.10569919851319991,0.00761023984047188,0.011924958740082342,0.02119703226864061,0.03020469086990046,0.06706374643843586,diag_anisotropy_llama3-8b,/mount/arbeitsdaten31/studenten1/singhsk/models/llama3-8b,,0,63.750468492507935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
likelihood_trap,,,,,,,,,,,,,,,,,,,,,,diag_likelihood_trap_gfn-lb0-2000,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-22/13-24-52/daily-resonance-15_1990.pt,0,3200.207706451416,500.0,0.0,1.0,500.0,40.0,0.0,40.0,0.0,1.0,-15.01979534997046,-0.3754948837492615,0.5651351351351352,0.37148717948717946,500.0,40.0,0.0,40.0,0.0,1.0,-8.945112337961794,-0.22362780844904478,0.7045945945945946,0.2626666666666666,500.0,40.0,0.0,40.0,0.0,1.0,-6.923431682482362,-0.173085792062059,0.7471351351351352,0.2329230769230769,500.0,40.0,0.0,40.0,0.0,1.0,-62.79252523507178,-1.5698131308767942,0.1858378378378378,0.7253333333333334,500.0,40.0,0.0,40.0,0.0,1.0,-40.143496560469266,-1.0035874140117318,0.31562162162162155,0.6027692307692307,500.0,40.0,0.0,40.0,0.0,1.0,-33.69155409325659,-0.8422888523314149,0.3671351351351352,0.5510769230769231,,False,"Slope is the change in unnormalised reward per generated token, in nats. Negative slope is the brevity incentive; its magnitude is the model's mean per-token entropy. Computed only where length varies; deterministic decoders pinned at the cap are excluded because their length carries no information.","No strategy produced varying scored length. For a len_beta=0 model this is itself the finding: EOS has been trained out, so the model never stops and every generation runs to the cap. See frac_emitted_eos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
likelihood_trap,,,,,,,,,,,,,,,,,,,,,,diag_likelihood_trap_gfn-lb0-500,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-26/avid-leaf-24_490.pt,0,3255.540591955185,500.0,0.0,1.0,500.0,40.0,0.0,40.0,0.0,1.0,-21.386973309755327,-0.5346743327438831,0.33043243243243237,0.5754871794871794,500.0,40.0,0.0,40.0,0.0,1.0,-13.165438554048539,-0.3291359638512134,0.5525405405405405,0.38533333333333325,500.0,40.0,0.0,40.0,0.0,1.0,-9.728420904874802,-0.24321052262187004,0.6862702702702702,0.2746153846153846,500.0,40.0,0.0,40.0,0.0,1.0,-63.21631695771217,-1.5804079239428042,0.07459459459459458,0.838871794871795,500.0,40.0,0.0,40.0,0.0,1.0,-44.67842991161346,-1.1169607477903365,0.12432432432432432,0.781948717948718,500.0,40.0,0.0,40.0,0.0,1.0,-38.585945347309114,-0.9646486336827279,0.1481081081081081,0.7546666666666667,,False,"Slope is the change in unnormalised reward per generated token, in nats. Negative slope is the brevity incentive; its magnitude is the model's mean per-token entropy. Computed only where length varies; deterministic decoders pinned at the cap are excluded because their length carries no information.","No strategy produced varying scored length. For a len_beta=0 model this is itself the finding: EOS has been trained out, so the model never stops and every generation runs to the cap. See frac_emitted_eos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
likelihood_trap,,,,,,,,,,,,,,,,,,,,,,diag_likelihood_trap_gfn-lb1-500,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-08/dutiful-durian-23_490.pt,0,3305.5297951698303,500.0,0.3923333333333333,0.6076666666666667,500.0,39.906,1.2083394259630336,39.87,0.036,0.964,-87.19926605272293,-2.1925240778954613,0.46138028479607424,0.3776988620019473,500.0,39.936,1.0128948177494281,39.92,0.016,0.984,-50.53818940591812,-1.2715418048634397,0.6261245568877147,0.29389693296787117,500.0,39.966,0.7602631123499284,39.96,0.006,0.994,-33.078169621944426,-0.8309576421684041,0.6736522838628103,0.27288837478311156,500.0,36.568,3.0971860005889997,35.724,0.844,0.156,-203.63923362731933,-5.721039004277038,0.0045960960960960955,0.9924309220936505,500.0,38.208,2.2704726583212516,37.52,0.688,0.312,-157.85642725992201,-4.220712507693297,0.015405405405405406,0.9777334217448382,500.0,37.504,2.578231672506221,36.74,0.764,0.236,-172.6884395546913,-4.722777259065126,0.015189189189189189,0.9775260486372291,,True,"Slope is the change in unnormalised reward per generated token, in nats. Negative slope is the brevity incentive; its magnitude is the model's mean per-token entropy. Computed only where length varies; deterministic decoders pinned at the cap are excluded because their length carries no information.",,1.2086371538351344,-135.38762937612972,0.03099638807581983,500.0,-3.452483727367132,-80.30270495085593,-0.3777349935527741,500.0,-1.5089774439242691,-101.23959356388343,-0.1578165239735436,500.0,-1.0416870349711516,-134.4168578898512,-0.10131682793353344,500.0,-0.5045617939355608,-159.56345869924132,-0.0446654981814173,1500.0,,,,,,,,,,,,,,
likelihood_trap,,,,,,,,,,,,,,,,,,,,,,diag_likelihood_trap_gpt2sft,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output,,0,3381.913394212723,500.0,0.0026666666666666666,0.9973333333333333,500.0,40.0,0.0,40.0,0.0,1.0,-38.000711528778076,-0.9500177882194518,0.14367567567567566,0.7309230769230769,500.0,40.0,0.0,40.0,0.0,1.0,-26.503197155952453,-0.6625799288988113,0.26935135135135135,0.6416410256410257,500.0,40.0,0.0,40.0,0.0,1.0,-22.15025865268707,-0.5537564663171768,0.3852972972972973,0.5326153846153846,500.0,39.89,1.2445874802487706,39.882,0.008,0.992,-84.7136714515686,-2.12572304037529,0.01945945945945945,0.9395027870680045,500.0,39.988,0.2683281572999748,39.986,0.002,0.998,-63.40327321815491,-1.5857007754773804,0.032540540540540536,0.9180913461538462,500.0,39.892,1.6240724190887825,39.886,0.006,0.994,-59.48998846149445,-1.4917864440978705,0.04481081081081081,0.8997435897435898,,True,"Slope is the change in unnormalised reward per generated token, in nats. Negative slope is the brevity incentive; its magnitude is the model's mean per-token entropy. Computed only where length varies; deterministic decoders pinned at the cap are excluded because their length carries no information.",,,,,,-1.2994493102298958,-32.889034060979895,-0.09547221644677341,500.0,,,,,,,,,-1.1233735349354226,-24.35948627618712,-0.07755560798337413,1500.0,,,,,,,,,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,diag_linearization_gfn-lb0-2000,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-22/13-24-52/daily-resonance-15_1990.pt,0,2554.6420352458954,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000.0,0.023697937664380123,0.0458281854288376,0.005323520079662645,0.023489338087049862,16.92578473656075,27.418780751657486,2.3541153835839035,0.09071631650516915,1.937559062409997,0.015525546408185887,2.4063530518889427,0.010944333556054434,2.5362747100183367
linearization,,,,,,,,,,,,,,,,,,,,,,diag_linearization_gfn-lb0-500,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-26/avid-leaf-24_490.pt,0,2534.958181142807,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000.0,0.05725233741962526,0.05797122494402972,-0.05675744844636208,0.08381929926437764,15.938100936747023,36.093102596760986,2.3541153835839035,0.11070271727351137,1.937559062409997,0.04860773256481332,2.4063530518889427,0.03681549755830884,2.5362747100183367
linearization,,,,,,,,,,,,,,,,,,,,,,diag_linearization_gfn-lb1-500,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-08/dutiful-durian-23_490.pt,0,3000.726797580719,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000.0,0.04624798375116917,-0.03159064658860833,-0.1714041716358474,0.08735626305858066,12.637050362716112,29.45935038651347,2.3541153835839035,0.05117086222937997,1.937559062409997,0.03955059822126049,2.4063530518889427,0.039953153154283993,2.5362747100183367
linearization,,,,,,,,,,,,,,,,,,,,,,diag_linearization_gpt2sft,/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output,,0,2982.187981367111,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000.0,-0.010838970530935124,-0.022724589978759563,-0.09564726692167662,0.03180218617884011,15.024936207530153,24.212467926902175,2.3541153835839035,0.027451225773962664,1.937559062409997,-0.0407598716648092,2.4063530518889427,-0.0484399951689926,2.5362747100183367
