sample_idx,pos,arm,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,accept_pct
1,15,hybrid_medium,2488,2488,1,1,-2.5692088456708007e-09,100.0
7,3,hybrid_medium,30426,39109,0,1,8.561187744140625,20.0
13,9,hybrid_medium,7323,9967,0,0,9.408093452453613,20.0
19,33,hybrid_medium,832,832,1,1,-1.047738962256517e-08,90.0
25,11,hybrid_medium,13527,30739,0,1,11.751798629760742,10.0
31,5,hybrid_medium,10807,8153,0,1,0.00013987626880407333,42.0
37,2,hybrid_medium,422,422,1,1,-9.080395102500916e-09,62.0
43,10,hybrid_medium,382,382,1,1,-2.988042524521006e-08,96.0
49,26,hybrid_medium,837,17154,0,1,2.5875041484832764,2.0
55,34,hybrid_medium,17418,13583,0,0,4.523567199707031,18.0
61,10,hybrid_medium,837,351,0,1,3.148259401321411,92.0
67,1,hybrid_medium,2932,1737,0,1,0.12355653941631317,48.0
73,16,hybrid_medium,262,262,1,1,-7.885535069362959e-08,24.0
79,22,hybrid_medium,837,532,0,1,2.065087080001831,52.0
85,3,hybrid_medium,705,29119,0,1,4.371367454528809,0.0
91,7,hybrid_medium,4447,11684,0,0,0.0414094440639019,16.0
97,8,hybrid_medium,319,319,1,1,-1.977321062440751e-08,56.0
103,3,hybrid_medium,14861,554,0,0,8.799614906311035,10.0
109,18,hybrid_medium,268,84,0,0,13.592860221862793,16.0
115,25,hybrid_medium,2162,8512,0,0,6.954207420349121,16.0
121,11,hybrid_medium,286,11,0,1,7.855033874511719,66.0
127,40,hybrid_medium,287,287,1,1,2.9751754837548106e-08,72.0
133,10,hybrid_medium,14747,45618,0,1,0.10057425498962402,78.0
139,14,hybrid_medium,373,1568,0,1,3.384582996368408,84.0
145,12,hybrid_medium,257,257,1,1,3.817898175384471e-08,60.0
151,36,hybrid_medium,837,5729,0,1,6.012129783630371,24.0
157,6,hybrid_medium,262,262,1,1,1.0946621387120103e-09,78.0
163,9,hybrid_medium,15593,1339,0,1,0.5869187712669373,8.0
169,10,hybrid_medium,337,573,0,0,11.411602020263672,2.0
175,3,hybrid_medium,262,262,1,1,2.5520421331748366e-09,100.0
181,1,hybrid_medium,796,796,1,1,-3.096647560596466e-08,46.0
187,7,hybrid_medium,27653,2310,0,0,3.7045400142669678,14.0
193,6,hybrid_medium,837,8549,0,0,5.428974628448486,14.0
199,10,hybrid_medium,6303,6,0,0,7.8014068603515625,6.0
