sample_idx,pos,arm,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,accept_pct
2,2,hybrid_small,286,286,1,1,4.470348358154297e-08,100.0
8,7,hybrid_small,416,416,1,1,6.186121481732698e-08,100.0
14,4,hybrid_small,5567,8225,0,0,5.557724952697754,14.0
20,14,hybrid_small,5093,4539,0,1,7.381202220916748,12.0
26,8,hybrid_small,10350,20956,0,0,10.53662109375,2.0
32,7,hybrid_small,13,13,1,1,-7.449727945640916e-09,100.0
38,7,hybrid_small,13922,6484,0,1,0.37153223156929016,10.0
44,8,hybrid_small,24414,22717,0,0,0.013373607769608498,24.0
50,2,hybrid_small,4074,4074,1,1,2.7470605346024968e-08,82.0
56,8,hybrid_small,42328,42328,1,1,-2.9802322387695312e-08,98.0
62,13,hybrid_small,837,286,0,1,14.951065063476562,18.0
68,20,hybrid_small,2168,2168,1,1,-2.5198005459969863e-08,56.0
74,45,hybrid_small,45714,491,0,0,8.00244140625,12.0
80,1,hybrid_small,9368,3687,0,1,1.6935244798660278,74.0
86,7,hybrid_small,31093,14705,0,1,0.32690006494522095,22.0
92,8,hybrid_small,8699,13242,0,0,3.4585461616516113,0.0
98,9,hybrid_small,257,262,0,1,2.494131326675415,38.0
104,4,hybrid_small,784,1222,0,0,11.381397247314453,22.0
110,5,hybrid_small,282,282,1,1,-3.1014502077653106e-10,24.0
116,7,hybrid_small,4539,3177,0,0,9.709918022155762,10.0
122,18,hybrid_small,1969,5884,0,0,0.2093728482723236,42.0
128,9,hybrid_small,290,290,1,1,2.561137080192566e-09,74.0
134,1,hybrid_small,10304,4502,0,0,1.5127463340759277,8.0
140,20,hybrid_small,30685,636,0,0,6.0756683349609375,36.0
146,24,hybrid_small,1793,9874,0,0,4.793166637420654,6.0
152,3,hybrid_small,705,4960,0,0,15.10209846496582,10.0
158,8,hybrid_small,796,796,1,1,5.471520125865936e-09,54.0
164,16,hybrid_small,31526,3334,0,0,1.7522401809692383,18.0
170,7,hybrid_small,1875,1875,1,1,2.612637217680458e-08,46.0
176,3,hybrid_small,3517,3517,1,1,-3.257815706092515e-08,10.0
182,4,hybrid_small,263,263,1,1,-8.331170420206035e-09,22.0
188,6,hybrid_small,24414,24414,1,0,1.4879901755193714e-08,16.0
194,1,hybrid_small,796,796,1,1,-3.096647560596466e-08,78.0
