sample_idx,pos,arm,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,accept_pct
0,3,left_conditional,388,21307,0,1,1.2867233753204346,26.0
0,3,dls_policy,388,49835,0,1,1.9167503118515015,nan
0,3,dls_random,388,49835,0,1,1.9167503118515015,nan
6,8,left_conditional,385,391,0,1,2.521496057510376,26.0
6,8,dls_policy,385,40616,0,1,3.420492172241211,nan
6,8,dls_random,385,40616,0,1,3.420492172241211,nan
12,21,left_conditional,520,520,1,1,-5.960464477539063e-08,94.0
12,21,dls_policy,520,19920,0,1,3.0670244693756104,nan
12,21,dls_random,520,18291,0,1,1.7352824211120605,nan
18,13,left_conditional,3936,11565,0,0,0.0014764111256226897,26.0
18,13,dls_policy,3936,34612,0,0,1.2528108358383179,nan
18,13,dls_random,3936,5001,0,0,1.1336818933486938,nan
24,6,left_conditional,5093,832,0,0,10.071516036987305,70.0
24,6,dls_policy,5093,2957,0,0,3.470689296722412,nan
24,6,dls_random,5093,2957,0,0,3.470689296722412,nan
30,32,left_conditional,287,287,1,1,1.4901161193847656e-08,50.0
30,32,dls_policy,287,5859,0,1,5.734371662139893,nan
30,32,dls_random,287,5859,0,1,5.734371662139893,nan
36,15,left_conditional,287,287,1,1,-3.1886929718893953e-07,100.0
36,15,dls_policy,287,4912,0,1,8.569805145263672,nan
36,15,dls_random,287,21439,0,1,12.672861099243164,nan
42,36,left_conditional,15761,32471,0,0,0.0036868732422590256,82.0
42,36,dls_policy,15761,1635,0,0,6.555798053741455,nan
42,36,dls_random,15761,10670,0,0,0.02378075383603573,nan
48,4,left_conditional,8825,8825,1,1,-2.365368345635943e-08,100.0
48,4,dls_policy,8825,3301,0,1,0.42727917432785034,nan
48,4,dls_random,8825,3301,0,1,0.42727917432785034,nan
54,5,left_conditional,543,319,0,0,12.565692901611328,16.0
54,5,dls_policy,543,714,0,0,9.789752960205078,nan
54,5,dls_random,543,4394,0,0,9.631966590881348,nan
60,21,left_conditional,11251,57,0,1,0.577640950679779,26.0
60,21,dls_policy,11251,410,0,1,9.345794677734375,nan
60,21,dls_random,11251,47526,0,1,7.182739734649658,nan
66,9,left_conditional,1318,2399,0,0,10.062881469726562,26.0
66,9,dls_policy,1318,14987,0,0,6.6816725730896,nan
66,9,dls_random,1318,14987,0,0,6.6816725730896,nan
72,1,left_conditional,1866,4409,0,0,1.610689640045166,12.0
72,1,dls_policy,1866,20746,0,0,6.879117965698242,nan
72,1,dls_random,1866,21946,0,0,8.89074993133545,nan
78,4,left_conditional,784,930,0,0,2.661642551422119,8.0
78,4,dls_policy,784,39777,0,0,7.1289167404174805,nan
78,4,dls_random,784,21026,0,0,9.661785125732422,nan
84,4,left_conditional,784,930,0,0,4.460641860961914,12.0
84,4,dls_policy,784,20522,0,0,11.566162109375,nan
84,4,dls_random,784,5449,0,0,11.493099212646484,nan
