sample_idx,pos,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,num_masks
0,3,388,388,1,1,-9.080395102500916e-09,1
1,15,2488,2488,1,1,-2.5692088456708007e-09,1
2,2,286,286,1,1,4.4703483581542975e-08,1
3,34,11084,17783,0,1,0.0157142728567123,1
4,25,11453,13975,0,0,4.938581466674805,1
5,3,6456,2306,0,1,8.684883117675781,1
6,8,385,271,0,1,0.1804194748401641,1
7,3,30426,7320,0,1,3.940039873123169,1
8,7,416,416,1,1,6.186121481732698e-08,1
9,19,400,32534,0,1,1.120456576347351,1
10,6,851,318,0,0,8.547632217407227,1
11,11,290,290,1,1,-4.6447894419543445e-09,1
12,21,520,520,1,1,-5.960464477539064e-08,1
13,9,7323,3641,0,0,7.981686115264893,1
14,4,5567,2351,0,0,10.839414596557615,1
15,17,1375,1355,0,1,12.115190505981444,1
16,8,3687,2258,0,0,0.2321091741323471,1
17,14,2688,2520,0,1,7.487136840820312,1
18,13,3936,13797,0,0,0.0009390121558681,1
19,33,832,832,1,1,-1.0477389622565171e-08,1
20,14,5093,788,0,1,7.082920551300049,1
21,41,13,13,1,1,9.35979187488556e-08,1
22,20,837,837,1,1,8.381903171539307e-09,1
23,19,810,810,1,1,1.6025410332076717e-08,1
24,6,5093,510,0,0,4.837573051452637,1
25,11,13527,33078,0,1,11.98772430419922,1
26,8,10350,17704,0,0,9.989398956298828,1
27,4,393,290,0,1,3.9955484867095943,1
28,11,262,383,0,1,7.784754753112793,1
29,5,635,373,0,1,1.1853222846984863,1
30,32,287,287,1,1,1.4901161193847656e-08,1
31,5,10807,8153,0,1,0.000139876268804,1
32,7,13,13,1,1,-7.449727945640916e-09,1
33,1,2739,9012,0,0,13.034794807434082,1
34,37,49330,5615,0,1,9.725682258605955,1
35,7,1966,257,0,1,5.082403182983398,1
36,15,287,287,1,1,-3.188692971889396e-07,1
37,2,422,422,1,1,-9.080395102500916e-09,1
38,7,13922,14526,0,0,0.5437712073326111,1
39,18,16636,4097,0,1,3.2496142387390137,1
40,1,14015,12,0,0,11.607948303222656,1
41,12,837,837,1,1,-2.23528786591487e-08,1
42,36,15761,20510,0,0,0.0030942340381443,1
43,10,382,382,1,1,-2.988042524521006e-08,1
44,8,24414,23859,0,0,0.0197408869862556,1
45,3,1839,2714,0,1,2.9720497131347656,1
46,2,22297,22297,1,1,-7.464315388006071e-09,1
47,33,262,46348,0,1,11.901396751403809,1
48,4,8825,8825,1,1,-2.365368345635943e-08,1
49,26,837,837,1,1,-2.9801087819691933e-08,1
50,2,4074,4074,1,1,2.7470605346024968e-08,1
51,18,16736,16069,0,1,6.358729362487793,1
