sample_idx,pos,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,num_masks
1,15,2488,2488,1,1,-2.5692088456708007e-09,1
7,3,30426,7320,0,1,3.940039873123169,1
13,9,7323,3641,0,0,7.981686115264893,1
19,33,832,832,1,1,-1.047738962256517e-08,1
25,11,13527,33078,0,1,11.987724304199219,1
31,5,10807,8153,0,1,0.00013987626880407333,1
37,2,422,422,1,1,-9.080395102500916e-09,1
43,10,382,382,1,1,-2.988042524521006e-08,1
49,26,837,837,1,1,-2.980108781969193e-08,1
55,34,17418,8047,0,0,4.819145202636719,1
61,10,837,351,0,1,3.148259401321411,1
67,1,2932,3267,0,1,0.10075835883617401,1
73,16,262,1171,0,1,6.12362003326416,1
79,22,837,837,1,1,1.3277542620926397e-08,1
85,3,705,18265,0,1,13.961289405822754,1
91,7,4447,1080,0,0,0.20744818449020386,1
97,8,319,319,1,1,-1.977321062440751e-08,1
103,3,14861,2260,0,0,9.231449127197266,1
109,18,268,25614,0,0,17.52228546142578,1
115,25,2162,290,0,0,2.6829822063446045,1
121,11,286,286,1,1,-7.48746060708072e-08,1
127,40,287,11,0,1,2.28721284866333,1
133,10,14747,5858,0,1,0.2597569227218628,1
139,14,373,373,1,1,1.6763806343078613e-08,1
145,12,257,257,1,1,3.817898175384471e-08,1
151,36,837,14572,0,1,6.089562892913818,1
157,6,262,262,1,1,1.0946621387120103e-09,1
163,9,15593,764,0,1,14.700660705566406,1
169,10,337,609,0,0,11.830489158630371,1
175,3,262,262,1,1,2.5520421331748366e-09,1
181,1,796,8,0,1,7.419431209564209,1
187,7,27653,1248,0,0,10.261096954345703,1
193,6,837,12224,0,0,8.423375129699707,1
199,10,6303,31,0,0,3.1299877166748047,1
