sample_idx,pos,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,num_masks
1,15,2488,2488,1,1,-2.5692088456708007e-09,1
7,3,30426,7320,0,1,3.940039873123169,1
13,9,7323,3641,0,0,7.981686115264893,1
19,33,832,284,0,1,2.1391587257385254,1
25,11,13527,33078,0,1,11.987724304199219,1
31,5,10807,1181,0,1,6.114707946777344,1
37,2,422,422,1,1,-9.080395102500916e-09,1
43,10,382,382,1,1,-2.988042524521006e-08,1
49,26,837,632,0,1,3.35540509223938,1
55,34,17418,5599,0,0,5.306018829345703,1
61,10,837,351,0,0,3.148259401321411,1
67,1,2932,9768,0,0,12.373186111450195,1
73,16,262,617,0,1,4.86171293258667,1
79,22,837,837,1,1,1.3277542620926397e-08,1
85,3,705,705,1,1,-7.939524948596954e-08,1
91,7,4447,5103,0,1,0.21178963780403137,1
97,8,319,319,1,1,-1.977321062440751e-08,1
103,3,14861,796,0,0,18.068723678588867,1
109,18,268,29988,0,0,26.023345947265625,1
115,25,2162,290,0,0,2.6829822063446045,1
121,11,286,286,1,1,-7.48746060708072e-08,1
127,40,287,390,0,1,1.7425031661987305,1
133,10,14747,1613,0,0,0.06554734706878662,1
139,14,373,373,1,1,1.6763806343078613e-08,1
145,12,257,257,1,1,3.817898175384471e-08,1
151,36,837,14572,0,1,6.089562892913818,1
157,6,262,4473,0,1,6.373996734619141,1
163,9,15593,6922,0,0,0.06213722750544548,1
169,10,337,609,0,0,11.830489158630371,1
175,3,262,262,1,1,2.5520421331748366e-09,1
181,1,796,796,1,1,-3.096647560596466e-08,1
187,7,27653,27653,1,0,-4.6798959374427795e-08,1
193,6,837,837,1,1,-6.37958947891093e-08,1
199,10,6303,31,0,0,3.1299877166748047,1
