config,gpt2-large,gfn-lb0-500,gfn-lb0-2000,gfn-lb1-500,llama3-8b
cls.policy.mh.gn.free.s50,8.778,8.513,9.373,8.397,
cls.policy.mh.nogn.free.s50,9.202,8.834,9.748,9.025,
cls.policy.nomh.gn.free.s50,9.012,7.516,8.836,7.794,
cls.policy.nomh.nogn.free.s50,8.083,7.799,8.198,13.732,
cls.random.mh.gn.free.s50,9.067,9.432,10.093,8.142,
cls.random.mh.nogn.free.s50,9.204,8.537,10.033,9.828,
cls.random.nomh.gn.free.s50,9.487,9.197,10.234,8.107,
cls.random.nomh.nogn.free.s50,9.183,9.112,10.024,8.577,
dls.grad_norm_preserved_random_dir.mh.gn.free.s100,6.289,5.938,6.241,5.485,
dls.grad_norm_preserved_random_dir.mh.gn.free.s50,6.37,6.105,6.548,5.525,
dls.grad_norm_preserved_random_dir.mh.nogn.free.s50,6.43,6.001,6.552,5.338,
dls.grad_norm_preserved_random_dir.nomh.gn.free.s100,9.679,9.819,10.717,8.518,
dls.grad_norm_preserved_random_dir.nomh.gn.free.s50,8.937,8.854,9.626,7.553,
dls.grad_norm_preserved_random_dir.nomh.gn.oracle.s50,9.11,8.77,9.57,7.997,
dls.grad_norm_preserved_random_dir.nomh.nogn.free.s50,9.008,8.885,9.636,7.421,
dls.policy.mh.gn.free.s100,6.086,5.846,6.552,6.303,
dls.policy.mh.gn.free.s50,6.541,6.306,6.721,6.415,
dls.policy.mh.nogn.free.s50,6.474,6.009,6.698,6.008,
dls.policy.nomh.gn.free.s100,9.097,8.943,9.677,7.336,
dls.policy.nomh.gn.free.s50,9.499,9.195,10.085,8.669,
dls.policy.nomh.gn.oracle.s50,9.411,9.086,10.072,7.913,
dls.policy.nomh.nogn.free.s50,9.272,9.255,9.968,9.261,
dls.random.mh.gn.free.s100,6.289,5.938,6.241,5.485,
dls.random.mh.gn.free.s50,6.37,6.105,6.548,5.525,
dls.random.mh.nogn.free.s50,6.431,5.958,6.401,5.366,
dls.random.nomh.gn.free.s100,9.679,9.819,10.717,8.518,
dls.random.nomh.gn.free.s50,8.937,8.854,9.626,7.553,
dls.random.nomh.gn.oracle.s50,9.11,8.77,9.57,7.997,
dls.random.nomh.nogn.free.s50,8.956,8.891,9.669,7.371,
