[hybrid_refs] gpt2sft loaded in 25.6s (no SEDD)
[hybrid_refs shard5] 20 seqs, 5.5m
[done] results_revision/rev_sedd_hybridrefs.shard5of6.json (9.4 min)
{
  "experiment": "hybrid_refs",
  "shard_idx": 5,
  "num_shards": 6,
  "n_rows": 33,
  "mh_steps": 50,
  "dls_steps": 50,
  "shard_done": true,
  "run_name": "rev_sedd_hybridrefs.shard5of6",
  "gpt2sft_path": "/mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output",
  "wall_time_sec": 564.7976703643799
}
