global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,Once upon a time a favoring horrendous bullyverselyNiced me Yuni Olympics switching teams everyussy single match.方�,-211.53347778320312,-0.6278024315834045,31,200
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,Once upon a time everything cam trigged together Petition.com anita creeps into activity and SYSTEM ERROR cores up. THE,-179.83837890625,-1.4972234964370728,34,200
2,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,The book got animals aircraft GameSpecifically the latest dog Wormtanic irritation Nawlins dogs stomach Lime green tongue No,-192.36502075195312,-2.9463164806365967,29,200
3,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,The book compassionatelyaimonen Wicked adults Mania andsaving lives Recipes Mia loves and has administrations Always Bleach her room,-224.68606567382807,-0.0135019905865192,21,200
4,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken Eat Californian bundleditzerland Stoneskin revitalizedhair cut hair Fair Isle eat carrots Armeniansbeef,-213.7811584472656,-0.4498157203197479,24,200
5,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken recipe I dc unnamed recipe anchor looseHeader Feeds avail. folloowedDc. To,-160.03770446777344,-1.2308130264282229,32,200
6,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city bus prominentinitions in this context AKIlhaj segmentations Kaufman-uasement. rear view,-188.80322265625,-0.1881501078605651,29,200
7,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The city managerCompat Party Limit 1BariumGilletteBeardyMezcal untoldfunnypoonfulNo,-169.15762329101562,-0.9635030627250672,27,200
8,4,The country,4000,The countrymingenh holdsHO Ford sucking earliest forbid glued CO spikesJA intermittent enemiesavior Scare Compact Parade Mountain curv,The country had just completed at Ford sucking down a big COATJAFO! His. It Parade roared by,-147.00277709960938,-0.7679193615913391,30,200
9,4,The country,4001,The countryPoll Cindyiscopal PAY hydro Eyeadier Withoutmeyer HortmAhhig complementaryICOUTC Quartemerケpoke Catalan,The countryPollutioniscopal PAYTHING accountadier Without insurance theremAhdphone The account Quartzespay To fix,-199.030517578125,-2.3411898612976074,35,200
