global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time,Once upon a time Paladin Archerangu Boris Polly Dillonibracons Rohbbav Brun Elise Archer Dunhamarya Zak Fischer Campbell gallon,-311.40216064453125,-1.1473273038864136,0,300
1,0,Once upon a time,1,Once upon a time,Once upon a time Paladin Archerangu Boris Polly Dillonibracons Rohbbav Brun Elise Archer Dunhamarya Zak Fischer Campbell gallon,-311.40216064453125,-1.1473273038864136,0,300
2,0,Once upon a time,2,Once upon a time,Once upon a time Paladin Archerangu Boris Polly Dillonibracons Rohbbav Brun Elise Archer Dunhamarya Zak Fischer Campbell gallon,-311.40216064453125,-1.1473273038864136,0,300
3,0,Once upon a time,3,Once upon a time,Once upon a time Paladin Archerangu Boris Polly Dillonibracons Rohbbav Brun Elise Archer Dunhamarya Zak Fischer Campbell gallon,-311.40216064453125,-1.1473273038864136,0,300
4,1,The book,1000,The book,The bookdll Tuskb Wisconsin Hawkinseli forestcl Saintsru Blumenthal Alv Allison Meier Reilly Kushner Robert Marshall Webb�,-291.5876159667969,-0.2957450449466705,0,300
5,1,The book,1001,The book,The bookdll Tuskb Wisconsin Hawkinseli forestcl Saintsru Blumenthal Alv Allison Meier Reilly Kushner Robert Marshall Webb�,-291.5876159667969,-0.2957450449466705,0,300
6,1,The book,1002,The book,The bookdll Tuskb Wisconsin Hawkinseli forestcl Saintsru Blumenthal Alv Allison Meier Reilly Kushner Robert Marshall Webb�,-291.5876159667969,-0.2957450449466705,0,300
7,1,The book,1003,The book,The bookdll Tuskb Wisconsin Hawkinseli forestcl Saintsru Blumenthal Alv Allison Meier Reilly Kushner Robert Marshall Webb�,-291.5876159667969,-0.2957450449466705,0,300
8,2,The chicken,2000,The chicken,The chickenBank Veg BrockROR� Lange Incarnation Tau Erik McK� Kramer Vader Wilson Sharma Codex Emma Goldstein Sharma feet,-360.3216552734375,-0.6540111303329468,0,300
9,2,The chicken,2001,The chicken,The chickenBank Veg BrockROR� Lange Incarnation Tau Erik McK� Kramer Vader Wilson Sharma Codex Emma Goldstein Sharma feet,-360.3216552734375,-0.6540111303329468,0,300
10,2,The chicken,2002,The chicken,The chickenBank Veg BrockROR� Lange Incarnation Tau Erik McK� Kramer Vader Wilson Sharma Codex Emma Goldstein Sharma feet,-360.3216552734375,-0.6540111303329468,0,300
11,2,The chicken,2003,The chicken,The chickenBank Veg BrockROR� Lange Incarnation Tau Erik McK� Kramer Vader Wilson Sharma Codex Emma Goldstein Sharma feet,-360.3216552734375,-0.6540111303329468,0,300
12,3,The city,3000,The city,The city Guardian fashion Hassan BangladeshMod Oss Pand Owens guy Solo Robbins Levine Anonymous Reid EdgarJac Fiorina Dino Bates heroes,-319.9454650878906,-1.5387403964996338,0,300
13,3,The city,3001,The city,The city Guardian fashion Hassan BangladeshMod Oss Pand Owens guy Solo Robbins Levine Anonymous Reid EdgarJac Fiorina Dino Bates heroes,-319.9454650878906,-1.5387403964996338,0,300
14,3,The city,3002,The city,The city Guardian fashion Hassan BangladeshMod Oss Pand Owens guy Solo Robbins Levine Anonymous Reid EdgarJac Fiorina Dino Bates heroes,-319.9454650878906,-1.5387403964996338,0,300
15,3,The city,3003,The city,The city Guardian fashion Hassan BangladeshMod Oss Pand Owens guy Solo Robbins Levine Anonymous Reid EdgarJac Fiorina Dino Bates heroes,-319.9454650878906,-1.5387403964996338,0,300
16,4,The country,4000,The country,The country Cream Farm Pork Gael Adin Karag Philippines Sak Heller Willie Xu AbdPol Gerald Lov Phillips Seymour Robertson pione,-315.1187744140625,-0.5313209891319275,0,300
