global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
1,0,Once upon a time,1,Once upon a time,Once upon a time If'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm,-179.79092407226562,-0.1218450590968132,0,300
5,1,The book,1001,The book,The book'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm,-163.26046752929688,-0.3001039922237396,0,300
9,2,The chicken,2001,The chicken,The chicken'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm,-86.15289306640625,-0.5620570778846741,0,300
13,3,The city,3001,The city,The city'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm,-99.14306640625,-0.45630142092704773,0,300
17,4,The country,4001,The country,The country'm'm'm'm'm'm'm It'm'm'm'm'm'm'm'm'm'm'm'm,-173.44895935058594,-0.2537054419517517,0,300
21,5,The horse,5001,The horse,The horseAlthough'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm,-201.36361694335938,-0.23810315132141113,0,300
25,6,The lake,6001,The lake,The lake'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm,-90.41663360595703,-0.12271227687597275,0,300
29,7,The last time,7001,The last time,The last time;'m'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm,-113.08065795898438,-0.1758526861667633,0,300
33,8,The movie,8001,The movie,The movie'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm,-134.03018188476562,-0.6612343192100525,0,300
37,9,The painting,9001,The painting,The painting'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm It It'm,-135.8355712890625,-0.04311181232333183,0,300
41,10,The pizza,10001,The pizza,The pizza'm'm'm'm'm Although Although'm'm'm'm'm'm'm'm'm'm'm It'm,-198.9864044189453,-0.21913151443004608,0,300
45,11,The potato,11001,The potato,The potato It'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm,-134.13192749023438,-0.7543466091156006,0,300
49,12,The president of the country,12001,The president of the country,"The president of the country This If."".,'m It It Although Although doesn doesn doesn doesn doesn doesn doesn doesn doesn'm'm",-318.4290466308594,-0.15839128196239471,0,300
53,13,The road,13001,The road,The road'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm'm,-114.07318878173828,-0.5341030359268188,0,300
57,14,The year is 1910.,14001,The year is 1910.,The year is 1910.'mIt'm'm'm'm'm'm'm'm'm'm doesn Although Although Although'm'm SolidGoldMagikarp'm,-255.97084045410156,-0.5370355844497681,0,300
