sample_idx,condition,arm,position,downstream_terms,recovered_tok,gt_tok,exact,top5,nll,rank
0,final,dls_policy,28,0,2420,764,0,0,17.3306827545166,402
0,final,dls_random,28,0,21047,764,0,0,18.371891021728516,811
0,final,cond_argmax,28,0,764,764,1,1,0.177403062582016,0
0,final,cond_sample,28,0,764,764,1,1,0.177403062582016,0
0,final,cond_topk_rescore,28,0,764,764,1,1,0.177403062582016,0
0,final,independence_mh,28,0,764,764,1,1,0.177403062582016,0
0,second_to_last,dls_policy,27,1,525,385,0,0,8.574405670166016,30
0,second_to_last,dls_random,27,1,525,385,0,0,8.574405670166016,30
0,second_to_last,cond_argmax,27,1,385,385,1,1,0.04489564150571823,0
0,second_to_last,cond_sample,27,1,385,385,1,1,0.04489564150571823,0
0,second_to_last,cond_topk_rescore,27,1,385,385,1,1,0.04489564150571823,0
0,second_to_last,independence_mh,27,1,385,385,1,1,0.04489564150571823,0
0,middle,dls_policy,14,many,37797,1127,0,0,21.424537658691406,11745
0,middle,dls_random,14,many,26524,1127,0,0,5.425202369689941,8
0,middle,cond_argmax,14,many,1834,1127,0,1,1.0495023727416992,0
0,middle,cond_sample,14,many,521,1127,0,0,4.111600875854492,5
0,middle,cond_topk_rescore,14,many,3541,1127,0,1,2.8821401596069336,3
0,middle,independence_mh,14,many,3541,1127,0,1,2.8821401596069336,3
1,final,dls_policy,36,0,2116,764,0,0,17.768009185791016,1434
1,final,dls_random,36,0,32636,764,0,0,19.471214294433594,4037
1,final,cond_argmax,36,0,764,764,1,1,0.035950373858213425,0
1,final,cond_sample,36,0,764,764,1,1,0.035950373858213425,0
1,final,cond_topk_rescore,36,0,764,764,1,1,0.035950373858213425,0
1,final,independence_mh,36,0,764,764,1,1,0.035950373858213425,0
1,second_to_last,dls_policy,35,1,1444,28395,0,0,15.009671211242676,538
1,second_to_last,dls_random,35,1,33214,28395,0,0,16.34056282043457,1186
1,second_to_last,cond_argmax,35,1,764,28395,0,1,0.05782599374651909,0
1,second_to_last,cond_sample,35,1,764,28395,0,1,0.05782599374651909,0
1,second_to_last,cond_topk_rescore,35,1,28395,28395,1,1,4.810707092285156,2
1,second_to_last,independence_mh,35,1,36225,28395,0,0,28.14682960510254,46302
1,middle,dls_policy,18,many,2116,28395,0,0,17.33803939819336,3719
1,middle,dls_random,18,many,33214,28395,0,0,23.092769622802734,25170
1,middle,cond_argmax,18,many,13,28395,0,1,0.1926458775997162,0
1,middle,cond_sample,18,many,13,28395,0,1,0.1926458775997162,0
1,middle,cond_topk_rescore,18,many,7786,28395,0,0,6.110825538635254,5
1,middle,independence_mh,18,many,7786,28395,0,0,6.110825538635254,5
2,final,dls_policy,30,0,6174,764,0,0,17.47521209716797,452
2,final,dls_random,30,0,12359,764,0,0,17.422473907470703,439
2,final,cond_argmax,30,0,13,764,0,1,0.4828062057495117,0
2,final,cond_sample,30,0,13,764,0,1,0.4828062057495117,0
2,final,cond_topk_rescore,30,0,13,764,0,1,0.4828062057495117,0
2,final,independence_mh,30,0,764,764,1,1,0.9652776718139648,1
2,second_to_last,dls_policy,29,1,6174,2266,0,0,14.663208961486816,298
2,second_to_last,dls_random,29,1,6174,2266,0,0,14.663208961486816,298
2,second_to_last,cond_argmax,29,1,13,2266,0,1,0.44016772508621216,0
2,second_to_last,cond_sample,29,1,13,2266,0,1,0.44016772508621216,0
2,second_to_last,cond_topk_rescore,29,1,7872,2266,0,1,2.3741772174835205,2
2,second_to_last,independence_mh,29,1,4171,2266,0,1,4.164852619171143,4
2,middle,dls_policy,15,many,24409,981,0,0,19.254228591918945,17000
2,middle,dls_random,15,many,24409,981,0,0,19.254228591918945,17000
2,middle,cond_argmax,15,many,351,981,0,1,1.606560230255127,0
2,middle,cond_sample,15,many,588,981,0,1,2.188847064971924,2
2,middle,cond_topk_rescore,15,many,981,981,1,0,3.7747464179992676,9
2,middle,independence_mh,15,many,981,981,1,0,3.7747464179992676,9
3,final,dls_policy,40,0,12897,764,0,0,15.954720497131348,176
3,final,dls_random,40,0,14438,764,0,0,19.12185287475586,1412
3,final,cond_argmax,40,0,764,764,1,1,0.13091865181922913,0
3,final,cond_sample,40,0,764,764,1,1,0.13091865181922913,0
3,final,cond_topk_rescore,40,0,764,764,1,1,0.13091865181922913,0
3,final,independence_mh,40,0,13,764,0,1,2.110306978225708,1
3,second_to_last,dls_policy,39,1,28001,29174,0,0,18.391948699951172,1696
3,second_to_last,dls_random,39,1,34066,29174,0,0,13.399698257446289,154
3,second_to_last,cond_argmax,39,1,29174,29174,1,1,0.00649507949128747,0
3,second_to_last,cond_sample,39,1,29174,29174,1,1,0.00649507949128747,0
3,second_to_last,cond_topk_rescore,39,1,29174,29174,1,1,0.00649507949128747,0
3,second_to_last,independence_mh,39,1,29174,29174,1,1,0.00649507949128747,0
3,middle,dls_policy,20,many,10341,2291,0,0,19.48781394958496,10783
3,middle,dls_random,20,many,34616,2291,0,0,10.592592239379883,209
3,middle,cond_argmax,20,many,4695,2291,0,1,0.9904458522796631,0
3,middle,cond_sample,20,many,584,2291,0,1,1.8508737087249756,2
3,middle,cond_topk_rescore,20,many,2291,2291,1,1,2.1368396282196045,3
3,middle,independence_mh,20,many,2291,2291,1,1,2.1368396282196045,3
4,final,dls_policy,53,0,649,764,0,0,14.909896850585938,654
4,final,dls_random,53,0,2187,764,0,0,14.940862655639648,665
4,final,cond_argmax,53,0,13,764,0,1,0.386308491230011,0
4,final,cond_sample,53,0,13,764,0,1,0.386308491230011,0
4,final,cond_topk_rescore,53,0,13,764,0,1,0.386308491230011,0
4,final,independence_mh,53,0,13,764,0,1,0.386308491230011,0
4,second_to_last,dls_policy,52,1,649,3417,0,0,13.96536636352539,783
4,second_to_last,dls_random,52,1,2187,3417,0,0,13.650349617004395,671
4,second_to_last,cond_argmax,52,1,1775,3417,0,1,0.5872910022735596,0
4,second_to_last,cond_sample,52,1,12395,3417,0,0,4.244658470153809,7
4,second_to_last,cond_topk_rescore,52,1,3417,3417,1,0,3.35939621925354,5
4,second_to_last,independence_mh,52,1,6264,3417,0,1,2.8752262592315674,4
4,middle,dls_policy,27,many,649,262,0,0,7.9536519050598145,93
4,middle,dls_random,27,many,649,262,0,0,7.9536519050598145,93
