sample_idx,pos,arm,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,accept_pct
4,25,hybrid_medium,11453,10770,0,0,1.5368154048919678,10.0
10,6,hybrid_medium,851,24420,0,0,5.509026050567627,0.0
16,8,hybrid_medium,3687,2258,0,0,0.2321091741323471,32.0
22,20,hybrid_medium,837,2162,0,1,3.525449514389038,20.0
28,11,hybrid_medium,262,262,1,1,3.330546860524919e-08,60.0
34,37,hybrid_medium,49330,49330,1,1,-2.3283064365386963e-10,40.0
40,1,hybrid_medium,14015,5623,0,0,3.923853874206543,6.0
46,2,hybrid_medium,22297,72,0,1,1.831721544265747,26.0
52,35,hybrid_medium,588,1022,0,0,6.916891098022461,20.0
58,9,hybrid_medium,287,329,0,1,4.766542434692383,86.0
64,26,hybrid_medium,3747,3747,1,1,5.960464477539063e-08,52.0
70,8,hybrid_medium,796,796,1,1,8.149072527885437e-10,94.0
76,9,hybrid_medium,82,4521,0,1,2.0080726146698,38.0
82,5,hybrid_medium,9368,1377,0,1,7.72821044921875,10.0
88,8,hybrid_medium,2297,2297,1,1,1.6770666633192377e-08,100.0
94,5,hybrid_medium,1105,279,0,0,5.3638505935668945,8.0
100,10,hybrid_medium,796,40674,0,1,11.393115997314453,0.0
106,12,hybrid_medium,9513,1343,0,0,10.033130645751953,32.0
112,28,hybrid_medium,656,656,1,1,-1.0244548320770264e-08,100.0
118,4,hybrid_medium,24228,7004,0,0,1.2172504663467407,64.0
124,17,hybrid_medium,262,262,1,1,3.058175934711471e-10,100.0
130,21,hybrid_medium,318,389,0,1,0.20108702778816223,80.0
136,33,hybrid_medium,705,16783,0,0,10.219236373901367,14.0
142,34,hybrid_medium,1593,8361,0,0,1.8714053630828857,22.0
148,17,hybrid_medium,9985,9985,1,1,7.450580596923828e-09,64.0
154,9,hybrid_medium,286,15941,0,1,13.219682693481445,40.0
160,8,hybrid_medium,796,796,1,1,2.6891484594671056e-08,22.0
166,7,hybrid_medium,19196,3952,0,0,0.024748828262090683,26.0
172,8,hybrid_medium,2237,1811,0,1,0.6543918251991272,8.0
178,1,hybrid_medium,796,784,0,1,8.851081848144531,16.0
184,7,hybrid_medium,784,13,0,1,11.648780822753906,26.0
190,10,hybrid_medium,31,1103,0,0,7.388385772705078,14.0
196,5,hybrid_medium,837,25,0,0,1.9427363872528076,12.0
