sample_idx,pos,arm,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,accept_pct
3,34,hybrid_small,11084,11084,1,1,-2.2351741790771484e-08,58.0
9,19,hybrid_small,400,400,1,1,2.9744965601707918e-08,88.0
15,17,hybrid_small,1375,412,0,1,11.362264633178711,14.0
21,41,hybrid_small,13,13,1,1,9.359791874885559e-08,100.0
27,4,hybrid_small,393,290,0,1,3.9955484867095947,86.0
33,1,hybrid_small,2739,1966,0,0,8.521745681762695,20.0
39,18,hybrid_small,16636,16636,1,1,-7.66249286243692e-10,26.0
45,3,hybrid_small,1839,1839,1,1,-4.6566128730773926e-09,82.0
51,18,hybrid_small,16736,2925,0,1,3.269622564315796,44.0
57,11,hybrid_small,440,440,1,1,3.5804816889140056e-09,20.0
63,16,hybrid_small,30151,1735,0,0,4.04702615737915,44.0
69,22,hybrid_small,393,706,0,0,7.826095104217529,4.0
75,32,hybrid_small,42497,6565,0,0,5.713451385498047,6.0
81,7,hybrid_small,805,805,1,1,-1.7971615307033062e-09,72.0
87,21,hybrid_small,329,329,1,1,-1.3127760212228168e-08,60.0
93,14,hybrid_small,796,796,1,1,-2.2351741790771484e-08,18.0
99,13,hybrid_small,290,290,1,1,-1.3690441846847534e-07,90.0
105,13,hybrid_small,952,13,0,0,9.771106719970703,12.0
111,6,hybrid_small,290,796,0,0,7.250946044921875,38.0
117,27,hybrid_small,2488,2488,1,1,-3.733699127650425e-09,96.0
123,28,hybrid_small,550,42664,0,1,6.293930530548096,0.0
129,11,hybrid_small,41498,1379,0,1,13.863354682922363,20.0
135,2,hybrid_small,642,340,0,0,4.763830661773682,10.0
141,29,hybrid_small,837,837,1,1,-1.3247809516059306e-09,74.0
147,2,hybrid_small,6607,354,0,1,3.499032974243164,50.0
153,5,hybrid_small,3841,4022,0,0,3.597407817840576,18.0
159,7,hybrid_small,4473,1285,0,0,0.2986849546432495,2.0
165,39,hybrid_small,5323,11,0,0,9.104247093200684,62.0
171,24,hybrid_small,14729,14729,1,1,-2.9016518965363503e-08,74.0
177,10,hybrid_small,796,796,1,1,-2.452600256219739e-08,30.0
183,7,hybrid_small,837,1201,0,0,5.334676265716553,20.0
189,9,hybrid_small,796,796,1,1,-4.656612873077393e-10,22.0
195,11,hybrid_small,837,24217,0,0,3.925403594970703,4.0
