sample_idx,pos,arm,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,accept_pct
4,25,left_conditional,11453,43206,0,0,7.636383056640625,0.0
4,25,dls_policy,11453,1002,0,0,7.238816261291504,nan
4,25,dls_random,11453,7866,0,0,4.63909912109375,nan
10,6,left_conditional,851,11,0,0,4.921536922454834,38.0
10,6,dls_policy,851,9572,0,0,8.184515953063965,nan
10,6,dls_random,851,3573,0,0,6.257692337036133,nan
16,8,left_conditional,3687,5335,0,0,9.301739692687988,2.0
16,8,dls_policy,3687,27791,0,0,7.178882598876953,nan
16,8,dls_random,3687,3819,0,0,5.120959758758545,nan
22,20,left_conditional,837,784,0,1,3.7885823249816895,6.0
22,20,dls_policy,837,41273,0,1,4.901994228363037,nan
22,20,dls_random,837,8201,0,1,8.912752151489258,nan
28,11,left_conditional,262,262,1,1,3.330546860524919e-08,94.0
28,11,dls_policy,262,465,0,1,8.00247859954834,nan
28,11,dls_random,262,4422,0,1,8.684478759765625,nan
34,37,left_conditional,49330,15901,0,0,8.036368370056152,16.0
34,37,dls_policy,49330,11792,0,0,6.489808082580566,nan
34,37,dls_random,49330,11792,0,0,6.489808082580566,nan
40,1,left_conditional,14015,264,0,0,9.519624710083008,2.0
40,1,dls_policy,14015,3245,0,0,1.7834491729736328,nan
40,1,dls_random,14015,6956,0,0,7.728163719177246,nan
46,2,left_conditional,22297,1501,0,0,6.027168273925781,30.0
46,2,dls_policy,22297,43068,0,0,2.754329204559326,nan
46,2,dls_random,22297,39992,0,0,0.694887638092041,nan
52,35,left_conditional,588,286,0,0,5.09424352645874,26.0
52,35,dls_policy,588,826,0,0,10.087881088256836,nan
52,35,dls_random,588,4390,0,0,5.207087993621826,nan
58,9,left_conditional,287,287,1,1,-3.1001263778307475e-08,26.0
58,9,dls_policy,287,1550,0,1,2.1961636543273926,nan
58,9,dls_random,287,502,0,1,10.512807846069336,nan
64,26,left_conditional,3747,3747,1,1,5.960464477539063e-08,6.0
64,26,dls_policy,3747,42906,0,1,0.12103330343961716,nan
64,26,dls_random,3747,21669,0,1,1.0847437381744385,nan
70,8,left_conditional,796,796,1,1,8.149072527885437e-10,90.0
70,8,dls_policy,796,6343,0,1,1.5775623321533203,nan
70,8,dls_random,796,6343,0,1,1.5775623321533203,nan
76,9,left_conditional,82,1065,0,0,1.6748520135879517,10.0
76,9,dls_policy,82,1105,0,0,11.328225135803223,nan
76,9,dls_random,82,19609,0,0,4.097414493560791,nan
82,5,left_conditional,9368,2458,0,0,18.945444107055664,6.0
82,5,dls_policy,9368,6665,0,0,13.330205917358398,nan
82,5,dls_random,9368,1360,0,0,9.947636604309082,nan
88,8,left_conditional,2297,2297,1,1,1.6770666633192377e-08,26.0
88,8,dls_policy,2297,6498,0,1,2.58514142036438,nan
88,8,dls_random,2297,2388,0,1,14.948789596557617,nan
94,5,left_conditional,1105,34,0,0,8.201135635375977,10.0
94,5,dls_policy,1105,61,0,0,6.752107620239258,nan
94,5,dls_random,1105,2744,0,0,8.736783027648926,nan
100,10,left_conditional,796,13,0,0,2.66255521774292,66.0
100,10,dls_policy,796,8949,0,0,7.670409679412842,nan
100,10,dls_random,796,11789,0,0,5.777891159057617,nan
106,12,left_conditional,9513,11948,0,0,10.346558570861816,0.0
106,12,dls_policy,9513,34400,0,0,10.378694534301758,nan
106,12,dls_random,9513,6881,0,0,9.081280708312988,nan
112,28,left_conditional,656,32864,0,1,6.929288864135742,0.0
112,28,dls_policy,656,42009,0,1,6.853696823120117,nan
112,28,dls_random,656,262,0,1,6.925615310668945,nan
