sample_idx,pos,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,num_masks
0,3,388,388,1,1,-9.080395102500916e-09,1
6,8,385,290,0,1,10.844712257385254,1
12,21,520,12761,0,1,0.10152830183506012,1
18,13,3936,6025,0,0,0.0031574454624205828,1
24,6,5093,510,0,1,4.837573051452637,1
30,32,287,287,1,1,1.4901161193847656e-08,1
36,15,287,287,1,1,-3.1886929718893953e-07,1
42,36,15761,20510,0,0,0.00309423403814435,1
48,4,8825,81,0,1,0.9032848477363586,1
54,5,543,326,0,1,0.3951590359210968,1
60,21,11251,6561,0,0,7.668432235717773,1
66,9,1318,1318,1,1,-2.4158453015843406e-10,1
72,1,1866,12678,0,0,10.524733543395996,1
78,4,784,2321,0,0,8.326763153076172,1
84,4,784,9559,0,0,14.339468002319336,1
90,10,796,28,0,1,0.47849729657173157,1
96,13,796,796,1,1,2.2351734685344127e-08,1
102,5,1547,284,0,0,9.833091735839844,1
108,9,355,355,1,1,-2.9787770472466946e-08,1
114,8,313,313,1,1,2.2351741790771484e-08,1
120,27,2488,2488,1,1,9.289942681789398e-08,1
126,15,383,383,1,1,-4.540197551250458e-08,1
132,32,509,461,0,0,15.138786315917969,1
138,8,416,355,0,0,1.9583033323287964,1
144,16,3104,3070,0,0,0.0038342252373695374,1
150,3,1071,1071,1,1,1.3969838619232178e-08,1
156,20,1918,1918,1,1,-2.6775524020195007e-08,1
162,1,796,796,1,1,-3.096647560596466e-08,1
168,3,3596,3596,1,1,1.0011717677116394e-08,1
174,3,318,318,1,1,-2.9802322387695312e-08,1
180,1,796,796,1,1,-3.096647560596466e-08,1
186,3,3394,28,0,0,16.45575714111328,1
192,6,11445,7863,0,0,4.69004487991333,1
198,13,796,28,0,1,0.007287625223398209,1
